link,description
https://www.chess.com/game/live/39042582433,"nothing special"
https://www.chess.com/game/live/38883565497,"he raged at me after"
https://www.chess.com/game/live/38881750801,"greek gift sac -> eventual mate"
https://www.chess.com/game/live/38957982901,"nothing special"
https://www.chess.com/game/live/38878765959,"nothing special"
https://www.chess.com/game/live/38881187361,"defend and attack"
https://www.chess.com/game/live/38870960329,"decent attack"
https://www.chess.com/game/live/38877557725,"semi-decent attack"
https://www.chess.com/game/live/38625262025,"nothing special"
https://www.chess.com/game/live/38624062485,"wild attack"
https://www.chess.com/game/live/38619898571,"clean FA"
https://www.chess.com/game/live/41215152185,"discovered panov trap OTB"
https://www.chess.com/game/live/44149481681,"oh no my queen"
https://www.chess.com/game/live/46335542373,"sharp FE fishing pole"
https://www.chess.com/game/live/49856957767,"5head game (with double sac)"
https://www.chess.com/game/live/35422576345,"model Bb5 FE game"
