opening,C45,B01,B22,C50,C41,C00,C47,C20,A00,C40,D00,B00,C42,A40,B10,C25,B12,A06,C44,D02,A45,B06,C02,C10,C22,A03,A43,B02,B21,D35,D37,A46,B07,B20,C01,C24,C46,C51,C53,A04,A05,A20,A22,A56,B09,C05,C07,C21,C23,C26,C34,C43,C48,C64,C68,C69,C85,D06,D07,D08,D11,D30,D53,E00
games,81.0,77.0,38.0,23.0,22.0,20.0,20.0,19.0,17.0,16.0,16.0,15.0,15.0,14.0,10.0,8.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
score,0.5864197530864198,0.5454545454545454,0.42105263157894735,0.6086956521739131,0.7272727272727273,0.5,0.525,0.3684210526315789,0.5882352941176471,0.5625,0.375,0.6,0.43333333333333335,0.6428571428571429,0.6,0.4375,0.3333333333333333,0.5,0.2,0.8,0.0,0.75,0.75,0.25,0.625,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0
white_win_percent,0.5735294117647058,0.47368421052631576,0.4166666666666667,1.0,0.7272727272727273,0.42857142857142855,0.8,0.25,,0.5625,,0.6666666666666666,0.5,1.0,0.6,0.0,0.2,,0.3333333333333333,,,0.75,1.0,0.3333333333333333,,,,0.6666666666666666,0.3333333333333333,,,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,
black_win_percent,0.6666666666666666,0.5740740740740741,,0.5909090909090909,,0.5384615384615384,0.2222222222222222,0.4,0.5882352941176471,,0.375,1.0,0.0,0.6153846153846154,,0.6,1.0,0.5,0.0,0.8,0.0,,0.6666666666666666,0.0,0.6666666666666666,0.5,0.5,,,0.5,0.6666666666666666,0.5,,0.0,,0.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,1.0,1.0,0.0
avg_cp_loss/game,1.2701007163329259,1.6077650306691376,1.1098860857795636,1.2910739481998785,1.2185323941277626,1.2868395561759267,1.1683375781173404,1.5863291411020612,1.4769164632268925,1.088461821120646,1.8241957512959985,1.3054592605578754,1.6483464362281415,1.3110641513699626,0.8850811614814162,2.151781942016317,1.025841664317629,1.1316419993245526,2.095934318181818,2.701233403805497,1.4315891414141413,0.9429593703148426,1.7516448825552253,1.1014667775761242,0.642819281811085,4.026856320875928,1.307027777777778,1.1863276353276355,3.8011297852474324,1.1484589947089947,1.2161407407407407,0.9123611111111112,2.1662037037037036,2.3452380952380953,1.5065599593495935,1.112302746931619,1.8785531914893616,1.4334029038112521,0.24460815047021942,1.3131818181818182,0.5961538461538461,1.1592307692307693,0.8218518518518519,1.3863333333333332,1.5416216216216216,1.332941176470588,1.5684,0.9218918918918919,5.77025,1.4934285714285715,1.21625,0.7951999999999999,1.5055,1.1987999999999999,0.6861111111111111,0.2490909090909091,3.1340816326530616,2.224,0.7116666666666667,0.8245833333333333,1.3134883720930233,0.1725,0.9197058823529412,1.87
inaccuracies/game,1.6296296296296295,1.922077922077922,2.0,1.826086956521739,1.0909090909090908,1.65,1.35,2.0526315789473686,2.5294117647058822,2.125,2.3125,1.6666666666666667,1.4666666666666666,2.7142857142857144,1.0,1.75,3.1666666666666665,2.4,2.2,1.2,1.5,1.0,2.25,2.0,2.5,0.6666666666666666,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0,3.5,1.0,3.0,1.0,0.5,1.5,1.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,4.0,2.0,8.0,4.0,4.0,2.0,1.0,0.0,6.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0
mistakes/game,3.271604938271605,3.142857142857143,4.078947368421052,2.869565217391304,3.8181818181818183,3.25,1.95,4.421052631578948,2.8823529411764706,3.9375,3.4375,3.0,4.8,2.7142857142857144,2.5,3.5,4.333333333333333,3.0,2.0,3.6,3.5,3.75,5.25,4.5,2.75,5.0,5.666666666666667,2.3333333333333335,3.3333333333333335,3.6666666666666665,4.0,3.0,3.5,3.5,5.0,3.5,6.0,3.0,1.0,4.0,1.0,3.0,7.0,5.0,3.0,2.0,2.0,4.0,9.0,3.0,8.0,2.0,4.0,7.0,7.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,9.0,0.0
blunders/game,2.1358024691358026,2.3636363636363638,2.1052631578947367,2.5217391304347827,2.1363636363636362,2.65,1.7,2.6315789473684212,2.4705882352941178,1.5625,2.5,1.8,3.2,2.7142857142857144,1.6,3.875,1.8333333333333333,3.4,2.4,3.2,2.5,1.5,2.0,2.5,1.25,4.333333333333333,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.0,2.0,1.0,4.0,4.5,5.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,2.0,3.0,6.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,7.0,3.0,0.0,1.0,6.0,0.0,1.0,2.0
