date,open,high,low,close,volume
2021-06-01,1343,1343,1311,1320,8
2021-06-02,1327,1352,1327,1352,4
2021-06-03,1360,1360,1360,1360,1
2021-06-04,1369,1369,1369,1369,1
2021-06-05,1361,1367,1353,1367,3
2021-06-07,1359,1359,1305,1322,16
2021-06-08,1329,1338,1329,1338,2
2021-06-10,1329,1352,1329,1352,4
2021-06-11,1361,1384,1361,1384,4
2021-06-13,1391,1399,1391,1399,2
2021-06-14,1407,1407,1407,1407,1
2021-06-15,1398,1413,1398,1413,3
2021-06-16,1404,1411,1393,1410,6
2021-06-17,1402,1402,1377,1393,11
2021-06-18,1385,1408,1385,1401,10
2021-06-21,1394,1410,1394,1410,5
2021-06-24,1418,1418,1418,1418,1
2021-06-30,1426,1426,1426,1426,1
2021-07-06,1418,1418,1418,1418,1
2021-07-10,1427,1427,1427,1427,1
2021-08-28,1427,1427,1427,1427,2
2021-09-18,1427,1427,1427,1427,5
2021-09-19,1427,1427,1427,1427,1
2021-09-27,1427,1427,1427,1427,4
2021-10-17,1427,1427,1427,1427,2
2022-01-05,1427,1427,1410,1411,4
2022-01-06,1393,1405,1312,1332,31
2022-01-07,1341,1354,1292,1312,30
2022-01-08,1302,1323,1259,1323,35
2022-01-09,1332,1340,1332,1340,2
2022-01-10,1332,1348,1324,1340,10
2022-01-11,1332,1353,1308,1353,21
2022-01-12,1346,1387,1339,1387,20
2022-01-13,1395,1429,1394,1429,15
2022-01-14,1422,1437,1421,1437,5
2022-01-16,1430,1457,1416,1457,8
2022-01-17,1449,1466,1435,1466,9
2022-01-18,1474,1502,1474,1502,13
2022-01-19,1511,1527,1487,1505,20
2022-01-22,1496,1496,1496,1496,1
2022-01-25,1488,1488,1488,1488,1
2022-01-27,1480,1489,1465,1488,9
2022-01-28,1479,1505,1471,1505,32
2022-01-29,1513,1520,1489,1489,6
2022-01-30,1497,1515,1488,1499,13
2022-02-05,1500,1510,1478,1478,10
2022-02-07,1470,1470,1470,1470,1
2022-02-14,1461,1477,1461,1477,4
2022-02-15,1469,1469,1441,1450,9
2022-02-21,1458,1484,1458,1467,10
2022-02-22,1475,1484,1452,1452,8
2022-02-25,1461,1469,1453,1469,6
2022-03-02,1476,1476,1469,1469,2
2022-03-03,1461,1461,1461,1461,1
2022-03-06,1468,1468,1468,1468,1
2022-03-10,1459,1459,1459,1459,1
2022-03-16,1466,1466,1459,1459,2
2022-03-17,1468,1483,1447,1479,17
2022-03-18,1479,1479,1444,1444,8
2022-03-20,1436,1444,1436,1437,3
2022-03-21,1445,1453,1438,1438,4
2022-03-22,1446,1454,1446,1447,3
2022-03-25,1440,1440,1432,1432,2
2022-04-11,1439,1439,1439,1439,1
2022-04-12,1447,1525,1447,1516,27
2022-04-13,1507,1514,1480,1480,8
2022-04-14,1472,1480,1472,1480,2
2022-04-15,1488,1488,1468,1468,7
2022-04-16,1475,1491,1475,1482,7
2022-04-17,1489,1503,1489,1503,5
2022-04-18,1496,1496,1489,1489,2
2022-04-19,1496,1519,1496,1518,10
2022-04-20,1526,1558,1504,1558,19
2022-04-21,1549,1549,1539,1539,9
2022-04-22,1531,1555,1531,1539,8
2022-04-23,1530,1530,1521,1521,2
2022-04-25,1513,1528,1485,1485,8
2022-04-26,1485,1544,1485,1502,21
2022-04-28,1509,1543,1485,1519,37
2022-04-29,1526,1534,1512,1512,14
2022-05-01,1503,1503,1486,1486,3
2022-05-03,1493,1500,1481,1481,6
2022-05-04,1473,1473,1473,1473,1
2022-05-05,1481,1489,1446,1446,10
2022-05-27,1454,1454,1439,1439,4
2022-05-28,1431,1431,1422,1422,2
2022-05-30,1414,1414,1414,1414,1
2022-05-31,1414,1423,1414,1416,4
2022-06-01,1424,1442,1424,1434,4
2022-06-02,1427,1468,1427,1468,6
2022-06-03,1476,1483,1476,1483,2
2022-06-04,1475,1484,1475,1484,2
2022-06-06,1476,1476,1476,1476,1
2022-06-07,1468,1503,1468,1503,5
2022-06-08,1511,1521,1511,1513,4
2022-06-11,1506,1506,1506,1506,1
2022-06-17,1514,1532,1509,1509,6
2022-06-18,1517,1525,1517,1525,2
2022-06-21,1534,1534,1534,1534,1
2022-06-24,1542,1551,1526,1535,10
2022-06-25,1543,1553,1528,1553,8
2022-06-26,1562,1562,1562,1562,1
2022-06-28,1570,1570,1570,1570,1
2022-06-29,1578,1578,1578,1578,1
2022-06-30,1586,1586,1586,1586,1
2022-07-01,1578,1578,1563,1563,3
2022-07-11,1556,1556,1556,1556,1
